Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","g/personne/jour","28.73","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","15587.27","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","11587.51","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","27174.78","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","g/personne/jour","25.88","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","11633.32","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","19304","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","30937.32","E","Valeur estimée",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","665","Disponibilité alimentaire en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","g/personne/jour","29.49","X","Ciffre de sources internationales","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","12233.91","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","23503.19","A","Chiffre officiel",""
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","008","Albanie","5141","Disponibilité alimentaire en quantité (tonnes)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","35737.1","E","Valeur estimée",""
