Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","705","Slovénie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","37780","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","64230","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","38325","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","67040","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","39629","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","66600","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","39115","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","68440","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","705","Slovénie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","40916","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","706","Somalie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3873.67","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","4842","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","3894.41","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","4868","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","3963.71","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","4955","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","3953.79","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","4942","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","3986.05","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 têtes","4983","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","4018.26","I","Valeur imputée",""
"QCL","Cultures et produits animaux","706","Somalie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","5023","I","Valeur imputée",""
"QCL","Cultures et produits animaux","729","Soudan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","68000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 têtes","32551","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","70000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 têtes","33027","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","75000","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 têtes","33510","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","80357.14","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","729","Soudan","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 têtes","34000","A","Chiffre officiel",""
