Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 US$","68980","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","398923.26","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 US$","251669","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","45619.27","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 US$","65625","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","345579.16","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 US$","276380","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","tonnes","43653.91","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","710","Afrique du Sud","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2021","2021","1000 US$","66752","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - Quantité","02151","Poulets","2017","2017","1000 têtes","4572","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","02151","Poulets","2017","2017","1000 US$","3266","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - Quantité","02151","Poulets","2018","2018","1000 têtes","4700","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","02151","Poulets","2018","2018","1000 US$","3829","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - Quantité","02151","Poulets","2019","2019","1000 têtes","1146","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","02151","Poulets","2019","2019","1000 US$","4589","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - Quantité","02151","Poulets","2020","2020","1000 têtes","644","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","02151","Poulets","2020","2020","1000 US$","4591","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5609","Importations - Quantité","02151","Poulets","2021","2021","1000 têtes","565","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","02151","Poulets","2021","2021","1000 US$","4756","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","17515.47","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","16481","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","tonnes","11587.51","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2018","2018","1000 US$","10991","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","tonnes","19304.04","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2019","2019","1000 US$","17493","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","23503.19","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","008","Albanie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","1000 US$","23709","A","Chiffre officiel",""
